MutationType	ID83A	ID83B	ID83C
1:Del:C:0	0.05364460982382298	0.060350443609058856	0.0259785853803578
1:Del:C:1	0.04957499224692583	0.03426017640158534	0.014207349650902756
1:Del:C:2	0.04646530663594604	0.007024686791032764	0.012792054433634802
1:Del:C:3	0.014259033161215484	0.008294529340525969	0.002035889667233448
1:Del:C:4	0.007569638252743971	0.015275487578992396	0.01548096159549459
1:Del:C:5	0.010145032269974763	0.021611419054170255	0.09127672873437405
1:Del:T:0	0.06629279293119908	0.08990813549607993	0.017122894106432796
1:Del:T:1	0.014003854850307107	0.0374646030832082	0.0037536957418410565
1:Del:T:2	0.023240401413931976	0.011998099362808823	0.003111329955288511
1:Del:T:3	0.005321971037203355	0.017238579936588394	0.011202147163453446
1:Del:T:4	0.005508589950866849	0.008682701119596459	0.01639815899543464
1:Del:T:5	0.07288462175056339	0.0526890783296949	0.161019067466259
1:Ins:C:0	0.003987993475527673	0.011843865092930627	0.007241434757582965
1:Ins:C:1	0.003972494934859583	0.010356466472296688	0.019460281596366258
1:Ins:C:2	0.00536083515398218	0.017056386085550913	0.012109956580457038
1:Ins:C:3	0.0016726638315105902	0.005274581838040149	0.004844309246277589
1:Ins:C:4	0.002912722731230133	0.0012679735739482112	0.006665240800361971
1:Ins:C:5	0.03473255692372277	0.008004246415405447	0.07280498370528221
1:Ins:T:0	0.0009372802892130494	0.006418550009152568	0.0126376208982947
1:Ins:T:1	0.013364655122859403	0.010458796771348488	0.02804595772176981
1:Ins:T:2	0.008530065249101427	0.004948673584661378	0.002484503670227944
1:Ins:T:3	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
1:Ins:T:4	0.001187130355009458	0.0007837693857140948	2.453022091231105e-06
1:Ins:T:5	0.037644593277946115	0.07323446869850159	0.14905462712049483
2:Del:R:0	0.007636566898486308	0.02845374890603125	0.007462166604591402
2:Del:R:1	0.017957861501599837	0.025266667967662214	0.010283279589469885
2:Del:R:2	0.004172575036523085	0.010109034479003753	0.00211342622576467
2:Del:R:3	0.005972548085759399	0.007717340111548765	1.6085462220871704e-06
2:Del:R:4	0.0018048786796725836	0.007350632652526201	0.001036270024451369
2:Del:R:5	0.011102887149900199	0.023035834792563038	0.015629739174619316
3:Del:R:0	0.03520929189307935	0.00691477074091722	1.1822240196579513e-06
3:Del:R:1	0.02361970916390419	0.012860700022429228	0.006096233849541477
3:Del:R:2	0.006409615064967511	0.006889711551849587	0.006826461271162998
3:Del:R:3	0.015768263433892572	0.013522251771627225	0.034562807716429236
3:Del:R:4	0.011111670205218615	0.012348283175424513	0.04215985182672739
3:Del:R:5	0.004189856127140956	0.001911276673354223	0.0013465224015703826
4:Del:R:0	0.007776945760451781	0.004968096163531754	0.0013228492773585288
4:Del:R:1	0.0057755431680050155	0.005897737961367966	3.41160641710303e-06
4:Del:R:2	0.0010269520573558566	0.0008135782405815917	0.001279495953872356
4:Del:R:3	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
4:Del:R:4	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
4:Del:R:5	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
5:Del:R:0	0.07550241127610206	0.02817372606832578	0.030177524778991938
5:Del:R:1	0.008753144151694415	0.007186237468010859	0.016361758022918595
5:Del:R:2	0.02280554370954633	0.007476519564761475	0.0021106455967640158
5:Del:R:3	0.00014955743441760205	0.0001746240441775626	0.0012698698751137272
5:Del:R:4	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
5:Del:R:5	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
2:Ins:R:0	0.0018847586773233615	0.010513466596603394	1.5247170232157715e-06
2:Ins:R:1	0.0038769718656439522	0.0057365745645370225	0.0026293427485029495
2:Ins:R:2	0.001210921891538419	0.00017073489827907907	4.58874714013291e-06
2:Ins:R:3	0.0021081722565302386	0.0030709693894579006	0.0013729662416807286
2:Ins:R:4	0.00099162991623416	0.0008708088437771267	2.6393989514872373e-06
2:Ins:R:5	0.0009791372982249414	0.0001706578950063431	4.768012740896666e-06
3:Ins:R:0	0.004595039260777867	0.009231721587428864	0.0016056008231757346
3:Ins:R:1	0.0017554584585809606	0.0017944982469771276	0.00151680033305297
3:Ins:R:2	0.00236529592361876	0.0025249811691026025	0.0012645524096072335
3:Ins:R:3	0.0010702588342837772	1.6476720475111506e-06	0.00020787352246998125
3:Ins:R:4	0.0020254610450933797	0.0018214379870642005	2.0900523452382915e-06
3:Ins:R:5	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
4:Ins:R:0	0.009253383448496421	0.0012751356490696252	0.0004691011269642331
4:Ins:R:1	0.0008128623141089974	0.00395667233756285	0.003254986102757584
4:Ins:R:2	0.0011352756388191664	1.7490523475771625e-06	0.0005900399775896403
4:Ins:R:3	0.0019498684809491351	0.0010655197325661447	0.0008556068277698614
4:Ins:R:4	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
4:Ins:R:5	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
5:Ins:R:0	0.02751707925831397	0.01779118808481144	0.00240940757057615
5:Ins:R:1	0.0014589961517501137	0.01997580933197014	0.0521757235750556
5:Ins:R:2	0.001508481407242357	0.0051157328960528044	8.502376704484504e-05
5:Ins:R:3	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
5:Ins:R:4	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
5:Ins:R:5	1.9388773694117844e-06	2.1843789113518143e-06	3.170180320921645e-06
2:Del:M:1	0.014945980718505326	0.02329705678857863	0.012738715354635133
3:Del:M:1	0.0078579452786812	0.0044260850493174075	0.013433893712135613
3:Del:M:2	0.006066837626167399	0.013297565327957273	0.011688425310866534
4:Del:M:1	0.00444324782389458	0.0033737838762988304	0.002314368399470368
4:Del:M:2	0.004843945266179617	0.005048770692172866	0.0012677409681396078
4:Del:M:3	0.007202501766209934	0.006892197192695448	0.0014407430596662606
5:Del:M:1	0.05436129383742809	0.06404921761713922	0.0059280401403157155
5:Del:M:2	0.051210640186764064	0.02392973988171434	0.0015253070569201555
5:Del:M:3	0.016649178182706236	0.01150364131317474	0.001410005286533078
5:Del:M:4	0.0030327912875577566	0.004404411157520371	0.0030808031715423567
5:Del:M:5	0.012903603332301828	0.02914550807327032	0.006906036509752767
