NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	34.34	102.179	7.273	68.068	0.908	0.664	30000.0
2	34.387	102.62	7.58	69.789	0.935	0.646	20000.0
3	34.566	101.839	7.491	70.299	0.908	0.636	30000.0
4	34.0	100.571	7.621	68.76	0.915	0.659	40000.0
5	34.756	103.791	7.525	68.924	0.951	0.645	30000.0
6	34.639	99.487	7.699	68.475	0.893	0.669	30000.0
7	34.448	100.829	7.614	68.692	0.909	0.661	20000.0
8	34.075	100.715	7.578	69.16	0.882	0.652	30000.0
9	33.596	100.145	7.462	68.419	0.893	0.653	20000.0
10	33.129	97.383	7.276	67.247	0.873	0.671	20000.0
