Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
27YO_UDI5	10	0.589	13.455	134.55%	2.802	80.887%	1.36388	0.524
27YO_UDI6	19	0.582	21.328	112.253%	4.117	82.34%	1.17062	0.459
CUH832_PBMC_CD4	59	0.84	41.83	70.898%	6.879	54.214%	0.49856	0.777
CUH832_PBMC_CD8	54	0.811	40.928	75.793%	6.968	58.474%	0.54612	0.739
CUH832_TILS_CD4	71	0.822	50.659	71.351%	10.678	57.323%	0.45067	0.78
CUH832_TILS_CD8	87	0.859	52.164	59.959%	9.171	51.348%	0.40288	0.796
Cordblood_D1	36	0.829	29.352	81.533%	5.267	56.146%	0.57927	0.788
Cordblood_D2	34	0.778	28.35	83.382%	7.997	62.83%	0.52751	0.754
Cordblood_H1	8	0.652	11.47	143.375%	2.456	77.666%	1.52256	0.626
Cordblood_H2	9	0.556	12.191	135.456%	2.495	83.167%	1.998	0.474
Cordblood_H3	14	0.706	16.643	118.879%	3.166	70.794%	1.09105	0.657
Cordblood_H4	28	0.865	25.043	89.439%	4.751	53.118%	0.67949	0.852
Cordblood_H5	8	0.703	10.666	133.325%	2.345	74.155%	1.29336	0.689
Cordblood_H6	12	0.657	13.215	110.125%	2.823	75.448%	0.98279	0.592
Cordblood_H7	12	0.617	15.576	129.8%	2.958	79.056%	1.66835	0.543
Cordblood_H8	11	0.52	16.229	147.536%	3.523	85.445%	1.74887	0.449
LEGACY_I1	23	0.751	24.691	107.352%	4.485	66.858%	0.92541	0.706
LEGACY_I2	36	0.849	26.531	73.697%	4.494	52.962%	0.54517	0.802
LEGACY_I3	20	0.758	18.003	90.015%	3.574	65.252%	0.77045	0.703
LEGACY_I4	31	0.812	28.243	91.106%	5.31	59.742%	0.66061	0.78
LEGACY_I5	19	0.573	23.794	125.232%	4.712	82.025%	1.1682	0.476
LEGACY_I6	64	0.843	41.432	64.738%	7.24	53.964%	0.44593	0.776
LEGACY_I7	56	0.901	35.907	64.12%	6.255	45.142%	0.45541	0.881
LEGACY_I8	18	0.713	18.59	103.278%	3.291	70.164%	1.00147	0.634
UDI21_3x	87	0.93	42.505	48.856%	7.134	37.341%	0.29148	0.906
UDI22_3x	121	0.94	56.079	46.346%	8.917	34.424%	0.25232	0.919
UDI23_3x	165	0.942	68.678	41.623%	11.052	33.584%	0.22163	0.916
UDI24_3x	136	0.916	66.699	49.043%	11.262	40.221%	0.23927	0.88
UKCTOCS_UDI1	57	0.86	40.129	70.402%	6.548	51.929%	0.52217	0.812
UKCTOCS_UDI2	51	0.913	31.441	61.649%	5.933	40.844%	0.39242	0.898
UKCTOCS_UDI3	35	0.938	26.087	74.534%	4.961	39.593%	0.52433	0.935
UKCTOCS_UDI4	28	0.89	21.986	78.521%	4.264	47.673%	0.70668	0.877
UKCTOCS_UDI5	32	0.878	23.635	73.859%	4.595	48.436%	0.49048	0.858
UKCTOCS_UDI6	33	0.893	24.115	73.076%	4.87	45.413%	0.60782	0.878
UKCTOCS_UDI7	34	0.872	27.403	80.597%	4.974	50.766%	0.60969	0.853
UKCTOCS_UDI8	22	0.937	15.272	69.418%	3.258	38.941%	0.48251	0.934
