NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	33.488	99.221	7.094	67.012	0.851	0.682	20000.0
2	32.081	98.07	7.247	67.051	0.866	0.676	20000.0
3	32.53	96.133	7.241	67.489	0.82	0.681	20000.0
4	32.368	96.202	7.341	66.623	0.823	0.692	20000.0
5	32.101	98.259	7.067	66.504	0.859	0.677	20000.0
6	33.358	98.472	7.532	67.312	0.843	0.682	30000.0
7	32.066	95.344	7.25	66.43	0.83	0.689	30000.0
8	32.049	96.353	7.209	66.681	0.844	0.676	20000.0
9	31.603	94.799	7.066	64.488	0.816	0.701	20000.0
10	32.152	96.658	7.154	67.059	0.861	0.677	20000.0
