De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID2 (8.66%) & Signature ID8 (40.52%) & Signature ID23 (50.82%), 60.60,  43.19, 0.559, 0.90, 0.89
Signature 83-ID83B, Signature ID2 (22.76%) & Signature ID7 (32.16%) & Signature ID25 (45.08%), 73.38,  47.66, 0.923, 0.88, 0.86
