MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	0.06859527956694364	0.042729992605745795	0.04512734282761812	0.022794994991272688
1:Del:C:1	0.05034462362527847	0.03884889036417007	0.0222689189016819	0.013556671425430978
1:Del:C:2	0.05892030261456967	0.01381503062025331	0.00355756501974156	0.01001693503263823
1:Del:C:3	0.012333186259877494	0.014607151797196138	0.006675425922638567	0.004265614282175534
1:Del:C:4	0.003724569675441103	0.01704490717988847	0.012111162936707841	0.017861459151504278
1:Del:C:5	0.003941832338205132	0.0032976830364916053	0.04388791284372928	0.11267749406397343
1:Del:T:0	0.054177934930976335	0.11177471801638603	0.05267036771401763	0.019355752470892183
1:Del:T:1	0.014508840825396874	0.021928900362308924	0.021020455192774533	0.00840006791638075
1:Del:T:2	0.022635513085992896	0.017792360613384517	0.00776283437394909	0.005060930561546684
1:Del:T:3	0.008238737716737887	0.00644886281328354	0.015797203644177672	0.010233640891200935
1:Del:T:4	0.007294417734146919	0.007158534784468884	0.009892763162724805	0.0159588357899338
1:Del:T:5	0.0563420542050153	0.04273252947605215	0.1011573314666748	0.18360983580350876
1:Ins:C:0	0.005594588006783851	0.011605743272230028	0.01192541614267668	0.004108142531583781
1:Ins:C:1	0.002745876667665925	0.0083788192116117	0.022195563302375376	0.011537745710256786
1:Ins:C:2	0.006025152350309782	0.02227038704303368	0.009737733432632466	0.010284597777092586
1:Ins:C:3	0.0024769318342066525	0.0026228913373699926	0.004925603410657686	0.005568763467306326
1:Ins:C:4	0.002139687857857098	0.0011874046203729448	0.003700509133361152	0.007885491909945586
1:Ins:C:5	0.03325162600631302	0.004217173345386982	0.013503731738273928	0.10081068873405456
1:Ins:T:0	0.0011855787245622195	0.006679310348908984	0.003723432908986979	0.014126595807533704
1:Ins:T:1	0.009505346514424673	0.023900084709748626	0.021824208376347087	0.018111144099384545
1:Ins:T:2	0.008664160098970797	0.005392282303279217	0.0017901341893932	0.004400444875170706
1:Ins:T:3	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
1:Ins:T:4	0.00020021746489504722	0.0014060090576833773	0.0017984626739803388	2.011091888221017e-06
1:Ins:T:5	0.041051558595358986	0.038178497552871705	0.12631605081260205	0.14381928220391274
2:Del:R:0	0.006931734370118648	0.026206609728978945	0.016093131344314317	0.003745693396172101
2:Del:R:1	0.013607560191303492	0.024465703793703143	0.022391267263469673	0.01183353178203106
