NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	36.793	107.358	7.542	70.393	0.991	0.641	20000.0
2	36.502	106.517	7.815	71.532	1.01	0.621	20000.0
3	36.657	105.931	7.742	71.719	0.968	0.615	30000.0
4	36.164	105.515	7.866	70.346	0.979	0.641	30000.0
5	36.153	107.671	7.756	71.354	1.028	0.62	30000.0
6	36.769	105.387	8.032	71.326	0.991	0.639	20000.0
7	36.128	104.524	7.955	70.834	0.99	0.637	40000.0
8	35.576	104.482	7.882	71.519	0.968	0.62	20000.0
9	36.521	107.697	8.079	72.464	1.017	0.615	20000.0
10	35.217	103.795	7.643	70.118	0.963	0.636	50000.0
