Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
27YO_UDI5	10	0.531	14.011	140.11%	2.936	84.755%	1.49418	0.449
27YO_UDI6	19	0.574	21.098	111.042%	4.157	83.14%	1.12114	0.449
CUH832_PBMC_CD4	59	0.796	44.413	75.276%	7.71	60.763%	0.60658	0.713
CUH832_PBMC_CD8	54	0.802	42.345	78.417%	7.149	59.993%	0.58022	0.728
CUH832_TILS_CD4	71	0.77	55.946	78.797%	11.906	63.915%	0.52027	0.712
CUH832_TILS_CD8	87	0.924	41.879	48.137%	6.84	38.297%	0.27158	0.891
Cordblood_D1	36	0.813	30.246	84.017%	5.467	58.278%	0.62846	0.766
Cordblood_D2	34	0.726	30.874	90.806%	8.756	68.794%	0.64794	0.694
Cordblood_H1	8	0.52	12.407	155.088%	2.706	85.571%	1.74798	0.46
Cordblood_H2	9	0.542	12.25	136.111%	2.525	84.167%	2.06008	0.457
Cordblood_H3	14	0.724	15.737	112.407%	3.087	69.027%	1.03658	0.679
Cordblood_H4	28	0.846	24.425	87.232%	4.781	53.453%	0.71975	0.823
Cordblood_H5	8	0.711	10.536	131.7%	2.318	73.302%	1.26477	0.697
Cordblood_H6	12	0.659	13.259	110.492%	2.817	75.287%	0.99618	0.595
Cordblood_H7	12	0.596	15.692	130.767%	3.063	81.862%	1.71141	0.522
Cordblood_H8	11	0.509	16.828	152.982%	3.548	86.052%	1.80408	0.436
LEGACY_I1	23	0.737	25.018	108.774%	4.558	67.947%	1.02853	0.685
LEGACY_I2	36	0.819	27.104	75.289%	4.867	57.358%	0.57873	0.762
LEGACY_I3	20	0.711	19.215	96.075%	3.854	70.364%	0.81061	0.64
LEGACY_I4	31	0.769	30.844	99.497%	5.74	64.58%	0.75476	0.725
LEGACY_I5	19	0.57	23.28	122.526%	4.735	82.426%	1.12958	0.473
LEGACY_I6	64	0.826	46.281	72.314%	7.605	56.684%	0.55745	0.751
LEGACY_I7	56	0.846	40.54	72.393%	7.475	53.946%	0.49832	0.806
LEGACY_I8	18	0.669	19.486	108.256%	3.492	74.45%	1.11681	0.573
UDI21_3x	87	0.926	42.16	48.46%	7.287	38.142%	0.29216	0.9
UDI22_3x	121	0.924	60.74	50.198%	9.971	38.493%	0.27147	0.896
UDI23_3x	165	0.954	63.92	38.739%	9.894	30.065%	0.19281	0.934
UDI24_3x	136	0.922	64.128	47.153%	10.849	38.746%	0.22544	0.889
UKCTOCS_UDI1	57	0.867	38.52	67.579%	6.347	50.335%	0.51051	0.821
UKCTOCS_UDI2	51	0.873	37.373	73.28%	7.08	48.741%	0.48909	0.849
UKCTOCS_UDI3	35	0.917	27.761	79.317%	5.628	44.916%	0.59092	0.914
UKCTOCS_UDI4	28	0.892	20.187	72.096%	4.108	45.929%	0.63527	0.877
UKCTOCS_UDI5	32	0.885	22.089	69.028%	4.421	46.601%	0.43808	0.866
UKCTOCS_UDI6	33	0.886	23.996	72.715%	5.106	47.614%	0.58412	0.872
UKCTOCS_UDI7	34	0.864	27.169	79.909%	5.043	51.47%	0.61396	0.842
UKCTOCS_UDI8	22	0.913	16.955	77.068%	3.809	45.526%	0.58053	0.909
