MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	0.04655881770886481	0.05451053809374571	0.012493409349735885	0.034114287707052424	0.08123628273606301
1:Del:C:1	0.054820242896676065	0.032475562579929826	0.0033121927421234433	0.031081735622137785	0.03593141495075543
1:Del:C:2	0.055222677532583475	0.0056134644908524935	0.010663482227550957	0.022467331854659277	0.008015392701669555
1:Del:C:3	0.010032567454845775	0.010722503270988426	5.593907991396918e-06	0.005625651855564229	0.016152873860539783
1:Del:C:4	0.008874508050485019	0.014363406192225625	0.019141353060331313	0.007367698603775352	0.010363881154808042
1:Del:C:5	0.027875880245119333	0.024818074889481068	0.12351630348712206	0.010672524472568057	0.008234676965730613
1:Del:T:0	0.05748053230345249	0.03718825802206993	0.021625018623399227	0.07320729201837821	0.11439776495099067
1:Del:T:1	0.015927665634080768	0.016774319529264402	0.0043236192851964	0.029603276995680973	0.028704639744682937
1:Del:T:2	0.022405991051346063	0.004204923689988505	0.004511271799333372	0.02463027151497954	0.010579776804746643
1:Del:T:3	0.004707020428213582	0.023893413972109555	0.0055919235026976825	0.016342096044826348	0.007345472702212419
1:Del:T:4	0.01002982808341244	0.020941410059231204	0.009194821194887482	0.005095426929528912	0.002456329917713873
1:Del:T:5	0.08055771198123693	0.07561892345547676	0.19985864758491517	0.02826836958874992	0.051359637081623076
1:Ins:C:0	0.001270085466793347	0.015025877340212901	0.0057954747580424735	0.0031291839822870315	0.01466191748622805
1:Ins:C:1	0.0045010492550062505	0.010209116310143429	0.01948094392253097	0.00618188200808163	0.017633284156295302
1:Ins:C:2	0.0020070554625476688	0.007276345129474749	0.015759579896371178	4.65108780645096e-07	0.035622228267857284
1:Ins:C:3	0.001371430962316822	0.0004566553205691548	0.00643598180847107	0.008734102156108748	0.0028006894172165177
1:Ins:C:4	0.0016406730288849758	0.0010062893282480445	0.010560982721244727	0.002772966277257183	0.0021223953408821216
1:Ins:C:5	0.0681685471907258	0.015027095030541204	0.0860301572829485	0.012914863473270088	3.187957872796687e-07
1:Ins:T:0	2.3279898513806076e-06	0.0020939024641776884	0.015349774607739165	0.004083230375374569	0.009161805909121768
1:Ins:T:1	0.010480512101366912	0.010506936348770068	0.025613160253169554	0.01588337797074928	0.02881295423417214
1:Ins:T:2	0.009449986039913937	0.003532512578794922	0.0028573930101742917	0.009911002646640554	0.0024623728374649546
1:Ins:T:3	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
1:Ins:T:4	0.0002771868753953299	0.0012396586671798103	0.0012714602106370875	0.0015452810875387969	1.8683060773128092e-06
1:Ins:T:5	0.04787637945264578	0.13307322934269905	0.15136623308062552	0.048633516672998665	0.03602730445563793
2:Del:R:0	0.003894178278119398	0.02145641078650442	0.0035918271080390696	0.011815388988725316	0.03654034119099379
2:Del:R:1	0.02635460839373991	0.015188616369596276	0.011666625520356102	0.017141795923112112	0.018512821766285013
2:Del:R:2	0.002737763705044927	0.004663936157038506	1.7829324519880173e-06	0.017410829755613123	0.005086452250154139
2:Del:R:3	0.005828376095449528	0.004215099013524082	1.4687445570871205e-06	0.004484979096844199	0.011101871691084852
2:Del:R:4	0.0020091864659349313	0.0077797601583711185	0.0031001350018357242	0.004182080658523546	0.000447348376616219
2:Del:R:5	0.010079679956010067	0.012667281666222153	0.018857712674434878	0.02021735217422247	0.022095838506186283
3:Del:R:0	0.038188325427472594	0.007003912433134474	3.1149060077950706e-07	0.011704756575124976	0.007809129385606628
3:Del:R:1	0.02991875137668103	0.009198634519452752	0.0023620824436790143	0.02122993767261505	0.004174526008921475
3:Del:R:2	0.0071639802870322455	0.0014712490553506542	0.007036649615096735	0.011888093775996821	0.005801007307539763
3:Del:R:3	0.011726911924779416	0.02443739452654654	0.024702921148264067	0.029119940707460046	0.015495461834061076
3:Del:R:4	0.013470854330807924	0.0627551885580715	0.023611048664588453	0.007172329537570477	0.0022956758861027993
3:Del:R:5	0.004175944651535701	0.0031320399099058704	0.0008876482094933635	0.0015836667254490067	0.0012208586072688377
4:Del:R:0	0.006339381406075972	0.009317334860770642	0.0006768751214011104	0.004892761609167451	0.0022348747126382127
4:Del:R:1	0.003265657311715131	0.008687741059031851	2.248539578886266e-06	0.003643040943984488	0.0029077669939681526
4:Del:R:2	0.00021845153860908795	0.0029028830902575464	0.0010651993194187525	0.0007476052298216018	3.6982352128234196e-06
4:Del:R:3	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
4:Del:R:4	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
4:Del:R:5	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
5:Del:R:0	0.06601164881139994	0.027210252173244954	0.037105447293470206	0.05991401951760054	0.034187130723148586
5:Del:R:1	0.007744353357702493	0.018337022181538033	0.015758446926861326	0.0008220964116098628	0.012962588831879885
5:Del:R:2	0.013198345024329683	0.003488938800330743	6.892125099966506e-07	0.03459408599883318	0.009354829736867031
5:Del:R:3	0.0001991822621562278	0.0017600622666122945	0.000273621306826044	0.0011692967955866606	2.257645974168554e-06
5:Del:R:4	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
5:Del:R:5	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
2:Ins:R:0	0.002561373971229841	0.007986868374746336	1.8760623987645886e-06	0.00270462764764261	0.007013362500674703
2:Ins:R:1	0.005587397899182634	0.004239417522026656	0.0004292280860340725	0.006847388750338723	0.0015009612101835046
2:Ins:R:2	0.0006765887393726189	0.0005663852804559611	3.5313063676767343e-06	0.0012342212339433445	2.355895554728704e-06
2:Ins:R:3	0.0017585085348258644	0.003840509544133397	0.0012496301631358619	0.004733289358343029	0.002063699563160526
2:Ins:R:4	0.00034816700687372303	3.3966758792303153e-06	2.7083501095148677e-06	2.1999283490004016e-06	0.0032652703344069776
2:Ins:R:5	0.0008151088131683082	3.3178878709350103e-06	3.889646109200839e-06	0.0009195428919269944	2.4206608827626042e-06
3:Ins:R:0	0.004846070340153119	0.004989189336180288	0.003126472277472203	0.00796751508472653	0.004384117059328929
3:Ins:R:1	0.0014884372756434061	0.002756400759187727	3.0606270286170912e-06	0.004415089007000006	0.0013330217716259086
3:Ins:R:2	0.0005454344324192561	0.0021908448711034367	2.0825127364787477e-06	0.0029618040167264325	0.006822738821369967
3:Ins:R:3	0.0017420165656801601	2.544949961702514e-06	2.9989777203809354e-06	2.0850465261901262e-06	2.1294720795594912e-06
3:Ins:R:4	0.0020360268794235026	0.00029019408775639023	2.6866154939853005e-06	0.0019437321404325303	0.0013033277631620877
3:Ins:R:5	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
4:Ins:R:0	0.0036861153145224534	0.002074956475011014	0.00045596364181221816	0.010771461993766707	0.00554828401017673
4:Ins:R:1	0.0018341823132686842	0.003653104983516187	0.002752058363631704	0.0010710310529248091	0.003992915365088834
4:Ins:R:2	0.0020750784524580014	0.00029761955615299486	2.8335942488411094e-06	1.7543440662848297e-06	2.016110386193759e-06
4:Ins:R:3	0.0014758727436852582	3.5366669266068128e-06	0.0009103430018910785	4.146267963278661e-06	0.00479758772526111
4:Ins:R:4	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
4:Ins:R:5	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
5:Ins:R:0	0.01750843535083959	0.0027464307918137363	7.751808766442991e-07	0.01131846496149933	0.05556829627603292
5:Ins:R:1	0.0007534008084803645	0.03330614581213922	0.0463009000412967	0.02247754038878611	0.023795680163647148
5:Ins:R:2	0.0002186990827169666	0.0015041265477947264	0.0009147246329803238	0.001119786784158805	0.007836847825763016
5:Ins:R:3	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
5:Ins:R:4	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
5:Ins:R:5	1.396770386463686e-06	2.9342770517359893e-06	3.279239172115922e-06	2.517378550237481e-06	2.43502174726018e-06
2:Del:M:1	0.014521931920353382	0.025893962152906624	0.012334157374993993	0.01907948199659586	0.008977996370504115
3:Del:M:1	0.00506345081262225	0.023281810674797045	0.006393089917125394	0.004588231600519066	0.003724088071970755
3:Del:M:2	0.004896285187752624	0.017787458142265677	0.00991090778261423	0.011683127044568664	0.008066323059339797
4:Del:M:1	0.00643253773808965	0.0016899069952623692	0.003464359730344313	0.005191089796512216	0.00022798151966298973
4:Del:M:2	0.0034071896223537125	0.0030431386478880994	7.176299375544204e-06	0.000925975759986386	0.012478344473720426
4:Del:M:3	0.010681386351075161	0.0028765500362396778	0.0008820468154738137	0.0017428083540380612	0.00882067258895063
5:Del:M:1	0.046231887955218556	0.04404784087091684	0.000894614402204752	0.0717067264020443	0.04581296471878886
5:Del:M:2	0.042584278620779514	0.013479716682689968	1.542907557450235e-06	0.06323571372777223	0.03149103974742502
5:Del:M:3	0.012089181644842028	0.00816681358162441	0.0009031517896801233	0.02268809946253896	0.01343306162938802
5:Del:M:4	0.0022930407394710526	0.0062447261277895905	0.0019715370325641855	0.005110499537204305	0.0018671916728351333
5:Del:M:5	0.007760932854876046	0.016751752234995365	0.0015708860715449191	0.04752250126084619	0.019516355341102097
