NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	42.317	121.43	8.486	77.652	1.24	0.54	20000.0
2	42.151	121.28	8.751	78.194	1.269	0.534	20000.0
3	41.641	119.794	8.54	78.069	1.236	0.526	20000.0
4	42.174	120.809	8.866	77.976	1.258	0.535	20000.0
5	41.954	121.452	8.691	77.987	1.274	0.53	30000.0
6	42.478	121.156	8.898	77.987	1.243	0.543	20000.0
7	42.378	119.434	8.849	77.895	1.261	0.533	20000.0
8	41.961	118.835	8.882	78.205	1.235	0.535	20000.0
9	41.799	121.056	8.971	78.719	1.269	0.523	30000.0
10	41.733	119.641	8.681	77.956	1.225	0.537	20000.0
