Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
27YO_UDI5	10	0.467	14.386	143.86%	3.079	88.883%	1.60939	0.367
27YO_UDI6	19	0.455	22.75	119.737%	4.664	93.28%	1.28159	0.291
CUH832_PBMC_CD4	59	0.764	47.309	80.185%	8.347	65.784%	0.58477	0.67
CUH832_PBMC_CD8	54	0.758	45.417	84.106%	7.886	66.178%	0.6165	0.666
CUH832_TILS_CD4	71	0.681	59.557	83.883%	13.67	73.384%	0.62105	0.594
CUH832_TILS_CD8	87	0.823	60.141	69.128%	10.342	57.904%	0.44398	0.747
Cordblood_D1	36	0.795	30.845	85.681%	5.715	60.922%	0.66906	0.745
Cordblood_D2	34	0.589	38.039	111.879%	10.328	81.144%	1.02444	0.537
Cordblood_H1	8	0.396	13.076	163.45%	2.918	92.275%	1.88497	0.302
Cordblood_H2	9	0.525	12.535	139.278%	2.558	85.267%	2.11837	0.435
Cordblood_H3	14	0.648	17.975	128.393%	3.411	76.272%	1.26815	0.586
Cordblood_H4	28	0.723	30.995	110.696%	6.269	70.09%	0.94575	0.684
Cordblood_H5	8	0.682	10.853	135.662%	2.393	75.673%	1.38774	0.663
Cordblood_H6	12	0.652	13.515	112.625%	2.841	75.929%	0.98898	0.586
Cordblood_H7	12	0.524	17.203	143.358%	3.205	85.657%	1.70545	0.421
Cordblood_H8	11	0.487	16.659	151.445%	3.604	87.41%	1.80252	0.407
LEGACY_I1	23	0.724	25.838	112.339%	4.644	69.229%	1.00389	0.67
LEGACY_I2	36	0.76	31.815	88.375%	5.536	65.242%	0.70595	0.68
LEGACY_I3	20	0.572	23.682	118.41%	4.548	83.035%	1.04377	0.457
LEGACY_I4	31	0.759	30.394	98.045%	5.839	65.694%	0.73281	0.712
LEGACY_I5	19	0.53	24.166	127.189%	4.908	85.437%	1.24385	0.423
LEGACY_I6	64	0.757	51.11	79.859%	9.023	67.253%	0.69521	0.656
LEGACY_I7	56	0.691	50.265	89.759%	10.088	72.804%	0.68311	0.595
LEGACY_I8	18	0.6	21.573	119.85%	3.809	81.208%	1.22104	0.483
UDI21_3x	87	0.904	49.864	57.315%	8.17	42.764%	0.35017	0.87
UDI22_3x	121	0.925	59.454	49.136%	9.845	38.006%	0.26821	0.897
UDI23_3x	165	0.912	79.056	47.913%	13.6	41.326%	0.21561	0.872
UDI24_3x	136	0.892	70.916	52.144%	12.74	45.5%	0.27647	0.845
UKCTOCS_UDI1	57	0.813	45.155	79.219%	7.373	58.472%	0.60986	0.744
UKCTOCS_UDI2	51	0.764	48.853	95.79%	9.454	65.084%	0.74768	0.718
UKCTOCS_UDI3	35	0.81	35.025	100.071%	8.097	64.621%	0.76542	0.812
UKCTOCS_UDI4	28	0.776	29.552	105.543%	5.846	65.36%	0.8341	0.752
UKCTOCS_UDI5	32	0.782	30.328	94.775%	6.045	63.72%	0.747	0.748
UKCTOCS_UDI6	33	0.766	34.488	104.509%	7.137	66.553%	0.82703	0.742
UKCTOCS_UDI7	34	0.793	33.266	97.841%	6.088	62.135%	0.76646	0.759
UKCTOCS_UDI8	22	0.767	26.882	122.191%	5.793	69.24%	0.98318	0.766
